                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.68863,                 2.4111,                 1.3398,                0.00366,                0.92708,                0.22732,                0.09201,                 1.7673,                 3.2164,                 2.4239,             0.00040012,             0.00040012,             0.00040012
                      2,                 0.6169,                 1.3358,                 1.2645,                0.58618,                0.11538,                0.07601,                0.03621,                 1.6607,                 3.5208,                 2.7916,             0.00080647,             0.00080647,             0.00080647
                      3,                0.60973,                 1.2015,                 1.2681,                 0.0436,                0.03846,                 0.0262,                0.01243,                 1.7762,                 4.4852,                 3.0777,              0.0012046,              0.0012046,              0.0012046
                      4,                0.64751,                 1.1073,                 1.2727,                 0.1644,                0.35978,                0.14053,                0.08303,                 2.0076,                 3.4945,                 3.1502,              0.0013866,              0.0013866,              0.0013866
                      5,                0.62218,                 1.0266,                 1.2665,                0.28769,                0.28197,                0.24208,                0.08667,                 2.3641,                 3.4848,                 3.3915,              0.0013724,              0.0013724,              0.0013724
                      6,                0.60758,                0.98813,                 1.2421,                0.20042,                0.33173,                0.20556,                0.07203,                 2.4778,                 3.1209,                 3.6295,              0.0013583,              0.0013583,              0.0013583
                      7,                0.58802,                0.89672,                 1.2261,                0.36518,                0.30769,                0.34948,                0.12873,                 2.3753,                 3.0136,                 3.6793,              0.0013441,              0.0013441,              0.0013441
                      8,                0.55826,                0.82587,                  1.206,                0.30498,                0.19471,                0.18491,                0.08969,                 1.9625,                 2.8004,                 2.9016,                0.00133,                0.00133,                0.00133
                      9,                0.61161,                0.83339,                 1.2492,                0.21741,                0.40865,                0.20595,                0.11875,                 1.8894,                 2.9135,                 3.1721,              0.0013158,              0.0013158,              0.0013158
                     10,                0.56699,                0.78681,                 1.2068,                0.43764,                0.40144,                0.39511,                0.20218,                 1.8935,                 2.6348,                 2.7298,              0.0013017,              0.0013017,              0.0013017
                     11,                0.53318,                0.69885,                 1.1985,                 0.3631,                0.25481,                0.23958,                0.09581,                  2.103,                  3.149,                 2.9912,              0.0012875,              0.0012875,              0.0012875
                     12,                0.54963,                0.70717,                 1.1961,                0.28032,                0.19551,                0.13255,                0.05613,                 1.9808,                 3.4731,                 2.6484,              0.0012734,              0.0012734,              0.0012734
                     13,                0.52151,                0.64777,                 1.1762,                0.47336,                0.35978,                0.41252,                 0.2016,                 1.9599,                 2.5321,                 2.8068,              0.0012592,              0.0012592,              0.0012592
                     14,                0.52069,                0.66772,                 1.1978,                0.56183,                0.31811,                0.36412,                0.18866,                 1.8154,                 2.7974,                 2.8078,              0.0012451,              0.0012451,              0.0012451
                     15,                0.52583,                0.63479,                 1.1782,                0.37947,                0.31602,                0.29549,                0.15736,                 1.8801,                 3.4997,                  2.736,              0.0012309,              0.0012309,              0.0012309
                     16,                0.52291,                0.63152,                 1.1793,                0.42044,                0.23077,                0.29506,                0.17031,                 2.1069,                  5.199,                 3.1248,              0.0012168,              0.0012168,              0.0012168
                     17,                0.51119,                0.59898,                 1.1733,                0.30413,                0.17788,                0.23984,                0.13349,                 1.8675,                 4.6741,                 2.9838,              0.0012026,              0.0012026,              0.0012026
                     18,                 0.5041,                 0.5594,                 1.1508,                 0.5951,                 0.3774,                0.42071,                0.24311,                 1.9717,                 3.0711,                  2.965,              0.0011885,              0.0011885,              0.0011885
                     19,                0.48485,                0.54445,                 1.1518,                0.34381,                0.47168,                0.39563,                 0.2388,                 2.1113,                 2.6566,                 3.1548,              0.0011744,              0.0011744,              0.0011744
                     20,                0.50146,                 0.5617,                 1.1599,                0.94163,                0.30769,                0.44843,                0.25739,                 1.9911,                 3.1292,                 2.8272,              0.0011602,              0.0011602,              0.0011602
                     21,                0.50286,                0.56652,                 1.1602,                0.35684,                0.58974,                0.48165,                0.26813,                 1.7103,                 2.1843,                 2.3723,              0.0011461,              0.0011461,              0.0011461
                     22,                0.50792,                0.56934,                  1.151,                0.46452,                0.35256,                0.35392,                0.22682,                 1.8708,                 3.4825,                 2.6966,              0.0011319,              0.0011319,              0.0011319
                     23,                0.45371,                0.50496,                 1.1323,                0.31351,                0.32853,                 0.3216,                0.16146,                 2.1139,                 4.3413,                 3.0457,              0.0011178,              0.0011178,              0.0011178
                     24,                 0.4576,                0.49399,                 1.1355,                 0.6167,                0.12901,                0.21483,                0.11269,                 1.9823,                 4.0697,                 2.9394,              0.0011036,              0.0011036,              0.0011036
                     25,                0.44503,                0.47845,                 1.1222,                0.24612,                0.23397,                0.20873,                0.10715,                 1.9071,                 3.6261,                 2.9309,              0.0010895,              0.0010895,              0.0010895
                     26,                0.47136,                0.49747,                 1.1388,                0.62028,                0.39114,                0.42009,                0.19496,                 2.0923,                 2.5679,                 2.8246,              0.0010753,              0.0010753,              0.0010753
                     27,                0.47078,                0.48277,                 1.1465,                0.69257,                0.47756,                 0.5059,                  0.273,                 1.9534,                 2.0957,                 2.6389,              0.0010612,              0.0010612,              0.0010612
                     28,                 0.4781,                0.48038,                 1.1356,                0.54953,                0.50251,                 0.4782,                0.32563,                 1.9542,                 2.6214,                 2.8774,               0.001047,               0.001047,               0.001047
                     29,                0.43834,                0.45896,                 1.1247,                0.51254,                0.32772,                 0.3183,                0.20347,                 1.9807,                 3.2888,                 3.0115,              0.0010329,              0.0010329,              0.0010329
                     30,                0.44362,                0.45101,                 1.1256,                0.26147,                 0.4401,                0.37673,                 0.2604,                 1.8174,                 2.8477,                 2.6113,              0.0010187,              0.0010187,              0.0010187
                     31,                0.40949,                0.44096,                 1.0862,                0.29379,                0.42548,                0.36562,                0.20153,                 2.1659,                 2.4882,                 3.2634,              0.0010046,              0.0010046,              0.0010046
                     32,                0.43611,                0.44919,                 1.1052,                  0.507,                0.48997,                 0.4754,                0.27546,                 1.8774,                  3.117,                 2.8676,             0.00099044,             0.00099044,             0.00099044
                     33,                0.41226,                0.44708,                 1.0958,                0.54037,                0.45281,                0.45688,                0.26504,                 1.8272,                 3.2941,                 2.6144,             0.00097629,             0.00097629,             0.00097629
                     34,                0.42286,                0.42037,                 1.0987,                0.58413,                 0.3712,                0.41964,                0.23961,                 1.8209,                 3.8933,                 2.6989,             0.00096215,             0.00096215,             0.00096215
                     35,                0.41428,                0.41138,                  1.091,                 0.4426,                0.29798,                0.34175,                 0.2023,                 1.8241,                  3.765,                 2.7314,               0.000948,               0.000948,               0.000948
                     36,                0.41446,                  0.426,                 1.0885,                0.72075,                0.40449,                0.51571,                0.37719,                   1.68,                 3.0747,                 2.5981,             0.00093385,             0.00093385,             0.00093385
                     37,                0.41738,                0.43401,                 1.0922,                0.48442,                0.39103,                0.38471,                0.26331,                 1.9647,                  3.844,                 2.9362,              0.0009197,              0.0009197,              0.0009197
                     38,                0.39532,                0.42292,                 1.0873,                0.48201,                0.47837,                0.44183,                0.25381,                 1.9053,                 3.5387,                 2.7764,             0.00090556,             0.00090556,             0.00090556
                     39,                0.41087,                0.41086,                 1.0825,                 0.3511,                0.29327,                0.27705,                0.13751,                 2.2289,                 3.4723,                 3.0003,             0.00089141,             0.00089141,             0.00089141
                     40,                0.40337,                0.38773,                  1.085,                0.37508,                0.38643,                0.37067,                0.22547,                  1.912,                  3.361,                 2.8293,             0.00087726,             0.00087726,             0.00087726
                     41,                0.40765,                 0.3986,                 1.0883,                0.51333,                0.41907,                0.40546,                0.24999,                 1.9574,                 3.1651,                 2.7813,             0.00086312,             0.00086312,             0.00086312
                     42,                0.40932,                0.40652,                 1.1018,                0.35777,                0.17067,                0.31072,                0.18642,                 2.0007,                 4.0865,                 2.8339,             0.00084897,             0.00084897,             0.00084897
                     43,                0.39992,                0.39244,                 1.0794,                0.61068,                0.28859,                0.42096,                0.26774,                  1.887,                 4.3406,                 2.9737,             0.00083482,             0.00083482,             0.00083482
                     44,                0.39588,                0.39206,                 1.0827,                0.48886,                 0.4359,                0.46558,                0.29932,                 1.8081,                 2.8856,                 2.8251,             0.00082067,             0.00082067,             0.00082067
                     45,                0.36986,                0.36936,                 1.0818,                0.50526,                0.35256,                0.35858,                0.19846,                 1.9727,                 3.4944,                 2.9551,             0.00080653,             0.00080653,             0.00080653
                     46,                0.38995,                0.37323,                 1.0851,                0.42406,                0.36298,                0.38624,                0.20408,                 2.0786,                 3.7943,                 3.0295,             0.00079238,             0.00079238,             0.00079238
                     47,                0.38144,                0.38333,                 1.0649,                0.20848,                0.69071,                 0.3504,                0.21797,                 2.0658,                 4.2666,                 3.1574,             0.00077823,             0.00077823,             0.00077823
                     48,                0.37581,                0.37723,                 1.0698,                0.39822,                  0.487,                0.42778,                0.24501,                 2.0203,                 3.5417,                 3.0797,             0.00076409,             0.00076409,             0.00076409
                     49,                0.36724,                0.34974,                 1.0481,                0.46097,                0.38782,                0.38993,                0.24365,                 1.9432,                 3.7553,                 2.8973,             0.00074994,             0.00074994,             0.00074994
                     50,                0.37496,                0.39049,                 1.0719,                0.51669,                0.29327,                0.42037,                0.25246,                    1.8,                 3.9628,                 2.8279,             0.00073579,             0.00073579,             0.00073579
                     51,                0.37409,                0.35509,                 1.0796,                0.50367,                0.45933,                0.42567,                0.28187,                 1.8948,                   3.41,                 2.6267,             0.00072164,             0.00072164,             0.00072164
